Team,name
NC,나성범
NC,알테어
NC,이명기
NC,박민우
NC,양의지
NC,노진혁
NC,박석민
NC,강진성
NC,권희동
NC,김성욱
NC,모창민
NC,이원재
NC,지석훈
NC,김태군
NC,김태진
NC,김형준
NC,김준완
NC,김찬형
NC,이상호
NC,박준영
NC,최정원
NC,도태훈
NC,이재율
NC,서호철
NC,윤수강
NC,유영준
NC,김기환
NC,박시원
NC,김건태
NC,배민서
kt,로하스
kt,배정대
kt,황재균
kt,강백호
kt,심우준
kt,조용호
kt,장성우
kt,유한준
kt,박경수
kt,김민혁
kt,문상철
kt,박승욱
kt,강민국
kt,천성호
kt,허도환
kt,오태곤
kt,송민섭
kt,이홍구
kt,강현우
kt,홍현빈
kt,김병희
kt,김영환
kt,김태훈
kt,문상인
kt,정주후
kt,박준혁
kt,김민수
kt,안현준
kt,유원상
kt,김성훈
LG,김현수
LG,오지환
LG,홍창기
LG,라모스
LG,유강남
LG,채은성
LG,정주현
LG,이천웅
LG,김민성
LG,이형종
LG,박용택
LG,정근우
LG,양석환
LG,김호은
LG,구본혁
LG,이성우
LG,김용의
LG,장준원
LG,백승현
LG,신민재
LG,손호영
LG,이재원
LG,박재욱
LG,최재원
LG,전민수
LG,한석현
LG,정우영
LG,송은범
LG,진해수
LG,김대현
두산,페르난데스
두산,김재환
두산,최주환
두산,정수빈
두산,박건우
두산,오재일
두산,허경민
두산,김재호
두산,박세혁
두산,오재원
두산,김인태
두산,이유찬
두산,국해성
두산,정상호
두산,권민석
두산,최용제
두산,안권수
두산,조수행
두산,류지혁
두산,서예일
두산,양찬열
두산,장승현
두산,백동훈
두산,신성현
두산,오명진
두산,이흥련
두산,박지훈
두산,이승민
두산,조제영
두산,함덕주
키움,김하성
키움,이정후
키움,서건창
키움,김혜성
키움,박준태
키움,전병우
키움,박병호
키움,박동원
키움,허정협
키움,이지영
키움,러셀
키움,김웅빈
키움,김규민
키움,주효상
키움,이택근
키움,변상권
키움,김주형
키움,박정음
키움,임병욱
키움,모터
키움,박주홍
키움,송우현
키움,김수환
키움,김은성
키움,김재현
키움,문찬종
키움,김병휘
키움,임지열
키움,신재영
키움,김재웅
KIA,터커
KIA,최형우
KIA,나지완
KIA,박찬호
KIA,유민상
KIA,최원준
KIA,김선빈
KIA,한승택
KIA,김민식
KIA,나주환
KIA,김태진
KIA,김규성
KIA,김호령
KIA,황대인
KIA,백용환
KIA,이창진
KIA,홍종표
KIA,황윤호
KIA,오선우
KIA,이우성
KIA,최정용
KIA,장영석
KIA,이진영
KIA,류지혁
KIA,김주찬
KIA,고장혁
KIA,최정민
KIA,김영환
KIA,문선재
KIA,이정훈
롯데,전준우
롯데,이대호
롯데,손아섭
롯데,마차도
롯데,한동희
롯데,정훈
롯데,안치홍
롯데,김준태
롯데,민병헌
롯데,오윤석
롯데,이병규
롯데,정보근
롯데,김재유
롯데,신본기
롯데,허일
롯데,김동한
롯데,추재현
롯데,강로한
롯데,강태율
롯데,지성준
롯데,김민수
롯데,신용수
롯데,배성근
롯데,김강현
롯데,이호연
롯데,고효준
롯데,오현택
롯데,구승민
롯데,김대우
롯데,이인복
삼성,박해민
삼성,구자욱
삼성,김상수
삼성,이원석
삼성,김동엽
삼성,강민호
삼성,김지찬
삼성,김헌곤
삼성,이성규
삼성,이학주
삼성,팔카
삼성,박승규
삼성,박계범
삼성,살라디노
삼성,이성곤
삼성,김호재
삼성,강한울
삼성,최영진
삼성,박찬도
삼성,김응민
삼성,송준석
삼성,김도환
삼성,김민수
삼성,양우현
삼성,김재현
삼성,백승민
삼성,김성윤
삼성,김성표
삼성,권정웅
삼성,라이블리
SK,로맥
SK,최정
SK,최지훈
SK,김성현
SK,김강민
SK,고종욱
SK,이재원
SK,한유섬
SK,최준우
SK,오태곤
SK,정의윤
SK,채태인
SK,오준혁
SK,최항
SK,정진기
SK,이흥련
SK,정현
SK,박성한
SK,김경호
SK,이현석
SK,김창평
SK,노수광
SK,윤석민
SK,남태혁
SK,이홍구
SK,화이트
SK,유서준
SK,채현우
SK,김성민
SK,김재현
한화,이용규
한화,최재훈
한화,노시환
한화,정진호
한화,반즈
한화,정은원
한화,송광민
한화,하주석
한화,김태균
한화,이성열
한화,노수광
한화,최진행
한화,강경학
한화,오선진
한화,최인호
한화,이해창
한화,호잉
한화,임종찬
한화,노태형
한화,김민하
한화,박정현
한화,조한민
한화,김문호
한화,박상언
한화,유장혁
한화,이동훈
한화,장진혁
한화,정기훈
한화,장운호
한화,김지수
