Team,name
NC,나성범
NC,테임즈
NC,이종욱
NC,박민우
NC,박석민
NC,이호준
NC,손시헌
NC,김태군
NC,지석훈
NC,김성욱
NC,김준완
NC,조영훈
NC,모창민
NC,김종호
NC,용덕한
NC,권희동
NC,이상호
NC,강민국
NC,박광열
NC,이재율
NC,황윤호
NC,윤병호
NC,도태훈
NC,조평호
NC,강구성
NC,김태진
NC,박세웅
NC,이민호
NC,김학성
NC,이재학
kt,이대형
kt,박경수
kt,유한준
kt,이진영
kt,마르테
kt,박기혁
kt,오정복
kt,유민상
kt,이해창
kt,심우준
kt,김상현
kt,전민수
kt,하준호
kt,김종민
kt,김연훈
kt,윤요섭
kt,문상철
kt,박용근
kt,김사연
kt,김선민
kt,배병옥
kt,남태혁
kt,김동명
kt,김민혁
kt,신현철
kt,김영환
kt,김진곤
kt,정주후
kt,정성곤
kt,김만수
LG,히메네스
LG,박용택
LG,오지환
LG,채은성
LG,정성훈
LG,손주인
LG,이병규
LG,김용의
LG,이천웅
LG,유강남
LG,정주현
LG,양석환
LG,임훈
LG,정상호
LG,이형종
LG,서상우
LG,문선재
LG,안익훈
LG,최경철
LG,박재욱
LG,강승호
LG,황목치승
LG,윤진호
LG,백창수
LG,장준원
LG,홍창기
LG,김지성
LG,이병규
LG,박성준
LG,조윤준
두산,허경민
두산,민병헌
두산,김재환
두산,박건우
두산,김재호
두산,오재원
두산,에반스
두산,오재일
두산,양의지
두산,정수빈
두산,박세혁
두산,최주환
두산,국해성
두산,류지혁
두산,홍성흔
두산,정진호
두산,조수행
두산,최재훈
두산,이원석
두산,서예일
두산,김동한
두산,김인태
두산,최용제
두산,이우성
두산,고영민
두산,정진철
두산,진야곱
두산,함덕주
두산,강동연
두산,고봉재
히어로즈,서건창
히어로즈,김하성
히어로즈,김민성
히어로즈,고종욱
히어로즈,대니돈
히어로즈,이택근
히어로즈,박동원
히어로즈,채태인
히어로즈,윤석민
히어로즈,임병욱
히어로즈,박정음
히어로즈,김지수
히어로즈,김재현
히어로즈,강지광
히어로즈,유재신
히어로즈,홍성갑
히어로즈,장영석
히어로즈,허정협
히어로즈,주효상
히어로즈,지재옥
히어로즈,김웅빈
히어로즈,장시윤
히어로즈,김민준
히어로즈,박윤
히어로즈,김택형
히어로즈,김세현
히어로즈,이정훈
히어로즈,오재영
히어로즈,마정길
히어로즈,
KIA,이범호
KIA,김주찬
KIA,필
KIA,김호령
KIA,나지완
KIA,서동욱
KIA,김주형
KIA,강한울
KIA,이홍구
KIA,신종길
KIA,노수광
KIA,백용환
KIA,오준혁
KIA,김원섭
KIA,이성우
KIA,윤정우
KIA,고영우
KIA,김다원
KIA,김민우
KIA,박찬호
KIA,이호신
KIA,안치홍
KIA,윤완주
KIA,이진영
KIA,한승택
KIA,김선빈
KIA,최원준
KIA,홍재호
KIA,최병연
KIA,황대인
롯데,손아섭
롯데,김문호
롯데,황재균
롯데,강민호
롯데,정훈
롯데,김상호
롯데,최준석
롯데,문규현
롯데,아두치
롯데,박종윤
롯데,김준태
롯데,오승택
롯데,전준우
롯데,신본기
롯데,손용석
롯데,맥스웰
롯데,이우민
롯데,김동한
롯데,이여상
롯데,박헌도
롯데,나경민
롯데,김대륙
롯데,김민하
롯데,김사훈
롯데,김주현
롯데,김재유
롯데,안중열
롯데,오현근
롯데,황진수
롯데,김지수
삼성,박해민
삼성,이승엽
삼성,최형우
삼성,백상원
삼성,구자욱
삼성,이지영
삼성,김상수
삼성,박한이
삼성,배영섭
삼성,조동찬
삼성,김재현
삼성,발디리스
삼성,이흥련
삼성,김정혁
삼성,최재원
삼성,우동균
삼성,이영욱
삼성,김태완
삼성,최선호
삼성,성의준
삼성,이상훈
삼성,나성용
삼성,이정식
삼성,이성규
삼성,황선도
삼성,권정웅
삼성,장필준
삼성,심창민
삼성,안지만
삼성,박계범
SK,정의윤
SK,최정
SK,김성현
SK,고메즈
SK,이재원
SK,박정권
SK,김강민
SK,이명기
SK,박재상
SK,최승준
SK,김재현
SK,최정민
SK,조동화
SK,김민식
SK,김동엽
SK,박승욱
SK,나주환
SK,최정용
SK,이진석
SK,한유섬
SK,김기현
SK,이대수
SK,임석진
SK,이현석
SK,유서준
SK,조성모
SK,박희수
SK,조한욱
SK,채병용
SK,신재웅
한화,김태균
한화,정근우
한화,로사리오
한화,이용규
한화,송광민
한화,양성우
한화,하주석
한화,차일목
한화,장민석
한화,이성열
한화,김경언
한화,신성현
한화,조인성
한화,강경학
한화,허도환
한화,최진행
한화,장운호
한화,이양기
한화,김회성
한화,오선진
한화,송주호
한화,권용관
한화,이종환
한화,김태완
한화,최윤석
한화,김원석
한화,박준혁
한화,정현석
한화,주현상
한화,정범모
