name,day,vs,result,bat_order,position,start_member,ab,score,hit,2_hit,3_hit,homerun,tb,rbi,sb,cs,bb,hpp,ibb,so,gdp,sh,sf,avg,obp,slg,ops,pitch,avLI,RE24,WPA
³ª¼º¹ü,05-10,³Ø¼¾,W 3:0,3,RF,1,4,1,1,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0.345,,0.554,0.939,16,0.72,-0.32,0.056
³ª¼º¹ü,05-11,³Ø¼¾,L 1:2,3,RF,1,3,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0.345,,0.549,0.931,10,2.65,0.44,0.189
³ª¼º¹ü,05-12,@kt,W 8:5,3,RF,1,5,2,3,1,0,1,7,4,0,0,0,0,0,0,1,0,0,0.354,,0.578,0.967,11,1.16,2.24,0.249
³ª¼º¹ü,05-13,@kt,L 2:5,3,RF,1,4,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0.351,,0.589,0.974,11,0.96,0.02,-0.05
³ª¼º¹ü,05-14,@kt,L 5:10,3,RF,1,4,2,2,0,0,1,5,2,1,0,0,0,0,1,0,0,0,0.355,,0.606,0.994,17,0.56,2.12,0.047
³ª¼º¹ü,05-16,@µÎ»ê,W 2:1,3,RF,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.346,,0.591,0.97,15,1.23,-1.53,-0.129
³ª¼º¹ü,05-17,@µÎ»ê,W 2:1,3,RF,1,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.34,,0.58,0.956,18,1.26,-0.41,-0.056
³ª¼º¹ü,05-18,@µÎ»ê,L 4:7,3,RF,1,4,1,4,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0.355,,0.59,0.984,16,1.01,3.17,0.212
³ª¼º¹ü,05-19,SK,L 1:11,3,RF,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.351,,0.583,0.976,8,0.32,-0.23,-0.019
³ª¼º¹ü,05-20,SK,W 1:0,3,RF,1,3,0,1,1,0,0,2,1,0,0,1,0,0,2,0,0,0,0.351,,0.585,0.979,17,0.95,0.83,0.077
