day,vs,inn,pitcher,batter,P,result,before,after,LEV,REa,WPs,WPe,WPa
2021-04-04,한화,2말,김민우,강백호,2-0,좌익수 안타,무사  1:0,무사 1루 1:0,0.99,0.398,44.0,48.1,0.041
2021-04-04,한화,4말,김민우,강백호,0-1,좌익수 안타,2사  1:0,2사 1루 1:0,0.55,0.134,37.3,39.0,0.017
2021-04-04,한화,6말,김진영,강백호,2-3,중견수 뜬공,1사  2:2,2사  2:2,0.98,-0.180,54.2,51.7,-0.024
2021-04-04,한화,9말,김범수,강백호,0-3,볼넷,무사  2:2,무사 1루 2:2,2.26,0.398,63.7,71.1,0.074
2021-04-06,LG,2말,수아레즈,강백호,2-2,강백호/13168 : 삼진 아웃,무사  0:0,1사  0:0,0.92,-0.258,55.1,52.8,-0.023
2021-04-06,LG,5말,수아레즈,강백호,2-2,강백호/13168 : 삼진 아웃,무사  2:0,1사  2:0,1.25,-0.258,28.4,25.2,-0.032
2021-04-06,LG,7말,정우영,강백호,0-0,유격수 땅볼,무사 1루 2:0,1사 1루 2:0,2.66,-0.380,28.3,22.2,-0.061
2021-04-06,LG,9말,고우석,강백호,1-1,중견수 뜬공,무사  3:2,1사  3:2,3.47,-0.258,20.0,11.2,-0.088
2021-04-07,LG,1말,정찬헌,강백호,2-3,볼넷,"1사 1,2루 0:0",1사 만루 0:0,1.91,0.679,58.5,64.3,0.058
2021-04-07,LG,4말,정찬헌,강백호,1-0,우익수 안타,무사  1:0,무사 1루 1:0,1.19,0.398,42.5,47.4,0.049
2021-04-07,LG,6말,김대유,강백호,2-0,좌익수 안타,2사  1:0,2사 1루 1:0,0.75,0.134,32.4,34.6,0.023
2021-04-07,LG,7말,정우영,강백호,0-0,중견수 안타,"2사 1,3루 3:3","2사 1,3루 3:4",3.19,1.000,58.8,79.1,0.203
2021-04-07,LG,8말,채지선,강백호,1-0,2루수 땅볼,"2사 1,2루 3:7",이닝종료 3:7,0.09,-0.466,98.8,98.6,-0.002
2021-04-08,LG,1말,이상영,강백호,1-2,유격수 병살타,"1사 1,2루 0:0",이닝종료 0:0,1.91,-0.971,58.5,50.0,-0.085
2021-04-08,LG,3말,이상영,강백호,2-1,강백호/13168 : 삼진 아웃,1사 1루 0:0,2사 1루 0:0,1.31,-0.322,55.7,52.6,-0.031
2021-04-08,LG,5말,김윤식,강백호,2-1,중견수 안타,2사  6:1,2사 1루 6:1,0.18,0.134,5.0,5.7,0.007
2021-04-08,LG,8말,진해수,강백호,1-1,중견수 안타,무사  7:1,무사 1루 7:1,0.16,0.398,1.0,1.7,0.008
2021-04-09,삼성,1초,뷰캐넌,강백호,2-2,중견수 안타,2사 1루 0:0,"2사 1,2루 0:0",0.79,0.215,52.6,50.6,0.020
2021-04-09,삼성,3초,뷰캐넌,강백호,2-2,강백호/13168 : 삼진 아웃,2사  0:0,이닝종료 0:0,0.46,-0.117,54.3,55.5,-0.012
2021-04-09,삼성,6초,뷰캐넌,강백호,1-0,2루수 병살타,"무사 1,2루 0:2",2사 3루 0:2,2.97,-1.186,64.5,80.4,-0.158
2021-04-09,삼성,8초,장필준,강백호,0-0,우익수 안타,1사 1루 0:7,"1사 1,2루 0:7",0.07,0.398,99.6,99.3,0.003
2021-04-09,삼성,9초,오승환,강백호,2-2,중견수 3루타,2사 만루 2:7,2사 3루 5:7,0.43,2.572,98.7,96.3,0.025
2021-04-10,삼성,1초,라이블리,강백호,2-3,우익수 안타,"1사 1,2루 0:0","1사 1,3루 1:0",1.93,1.272,46.2,34.3,0.120
2021-04-10,삼성,3초,라이블리,강백호,1-1,2루수 땅볼,1사  4:0,2사  4:0,0.27,-0.180,14.7,15.4,-0.007
2021-04-10,삼성,5초,심창민,강백호,2-3,1루수 땅볼,1사 1루 5:4,2사 2루 5:4,1.25,-0.229,35.7,37.6,-0.018
2021-04-10,삼성,7초,임현준,강백호,1-3,볼넷,2사  6:4,2사 1루 6:4,0.31,0.134,20.7,19.9,0.008
2021-04-11,삼성,1초,백정현,강백호,1-0,3루수 뜬공,"1사 1,2루 0:0","2사 1,2루 0:0",1.93,-0.505,46.2,50.6,-0.044
2021-04-11,삼성,3초,백정현,강백호,1-3,2루수 내야안타,"1사 1,2루 1:2",1사 만루 1:2,2.33,0.679,56.8,49.6,0.072
2021-04-11,삼성,5초,백정현,강백호,1-0,2루수 뜬공,2사  1:2,이닝종료 1:2,0.57,-0.117,69.6,71.0,-0.015
2021-04-11,삼성,8초,임현준,강백호,2-3,1루수 땅볼,무사  1:3,1사  1:3,1.45,-0.258,86.6,90.3,-0.037
2021-04-13,두산,1초,미란다,강백호,2-3,좌익수 안타,1사 1루 0:0,"1사 1,2루 0:0",1.15,0.398,49.8,46.2,0.036
2021-04-13,두산,2초,미란다,강백호,2-2,강백호/13168 : 삼진 아웃,2사 만루 1:2,이닝종료 1:2,3.15,-0.815,57.8,65.8,-0.080
2021-04-13,두산,4초,김민규,강백호,0-1,좌익수 뜬공,1사 1루 1:2,2사 1루 1:2,1.51,-0.322,62.2,65.8,-0.036
2021-04-13,두산,5초,김명신,강백호,0-0,2루수 병살타,"무사 1,2루 7:2",2사 3루 7:2,0.35,-1.186,4.3,6.3,-0.020
2021-04-13,두산,8초,이승진,강백호,2-1,중견수 뜬공,무사 1루 7:3,1사 1루 7:3,0.20,-0.380,3.0,3.4,-0.005
2021-04-14,두산,1초,이영하,강백호,2-3,강백호/13168 : 유격수 직선타 아웃,2사  0:0,이닝종료 0:0,0.40,-0.117,53.8,54.8,-0.010
2021-04-14,두산,4초,이영하,강백호,1-3,볼넷,무사  0:1,무사 1루 0:1,1.14,0.398,62.5,57.9,0.047
2021-04-14,두산,6초,이영하,강백호,1-1,유격수 땅볼,무사  1:3,1사  1:3,1.23,-0.258,78.3,81.4,-0.031
2021-04-14,두산,8초,박치국,강백호,2-2,투수 땅볼,1사 1루 1:3,2사 1루 1:3,1.97,-0.322,85.8,90.5,-0.047
2021-04-15,두산,1초,유희관,강백호,1-3,볼넷,1사 2루 0:0,"1사 1,2루 0:0",1.21,0.246,48.2,46.2,0.020
2021-04-15,두산,3초,홍건희,강백호,2-2,좌익수 2루타,무사  3:3,무사 2루 3:3,0.99,0.634,50.0,43.2,0.068
2021-04-15,두산,4초,홍건희,강백호,1-3,중견수 안타,2사 1루 4:3,"2사 1,3루 4:3",0.84,0.287,40.1,37.4,0.027
2021-04-15,두산,6초,윤명준,강백호,,고의4구,"2사 2,3루 4:3",2사 만루 4:3,2.18,0.181,32.8,31.5,0.013
2021-04-15,두산,7초,조제영,강백호,0-3,고의4구,2사 2루 8:3,"2사 1,2루 8:3",0.16,0.122,3.2,3.1,0.001
2021-04-16,키움,1말,한현희,강백호,2-1,강백호/13168 : 삼진 아웃,2사  0:0,이닝종료 0:0,0.40,-0.117,51.0,50.0,-0.010
2021-04-16,키움,4말,한현희,강백호,0-0,우익수 2루타,무사  3:0,무사 2루 3:0,0.97,0.634,21.1,27.4,0.064
2021-04-16,키움,6말,한현희,강백호,0-0,유격수 뜬공,2사  3:1,이닝종료 3:1,0.58,-0.117,19.6,18.1,-0.015
2021-04-16,키움,8말,김태훈,강백호,2-2,중견수 안타,1사  4:4,1사 1루 4:4,1.39,0.276,56.1,60.7,0.047
2021-04-17,키움,1말,안우진,강백호,1-1,1루수 땅볼,1사 1루 0:0,2사 2루 0:0,1.16,-0.229,55.0,53.2,-0.018
2021-04-17,키움,3말,안우진,강백호,1-3,볼넷,"1사 1,2루 2:0",1사 만루 2:0,2.37,0.679,37.1,44.5,0.074
2021-04-17,키움,5말,안우진,강백호,0-1,유격수 땅볼,2사 2루 2:1,이닝종료 2:1,1.77,-0.344,38.8,33.7,-0.050
2021-04-17,키움,6말,김성민,강백호,2-2,강백호/13168 : 삼진 아웃,"2사 1,2루 3:5",이닝종료 3:5,0.97,-0.466,84.4,81.9,-0.025
2021-04-17,키움,8말,김재웅,강백호,1-1,중견수 안타,2사 1루 5:6,"2사 1,2루 5:6",0.52,0.215,85.2,86.4,0.011
2021-04-18,키움,1말,최원태,강백호,2-1,좌익수 안타,2사  0:0,2사 1루 0:0,0.40,0.134,51.0,52.2,0.012
2021-04-18,키움,3말,최원태,강백호,0-1,2루수 땅볼,무사  1:2,1사  1:2,0.80,-0.258,67.1,65.0,-0.021
2021-04-18,키움,4말,최원태,강백호,0-0,좌익수 뜬공,1사 2루 1:3,2사 2루 1:3,0.83,-0.381,80.2,77.9,-0.024
2021-04-18,키움,5말,김선기,강백호,1-2,좌익수 희생플라이,"1사 1,3루 1:7",2사 1루 1:8,0.16,0.008,98.5,98.7,0.003
2021-04-18,키움,7말,김동혁,강백호,1-1,좌익수 뜬공,2사 1루 2:8,이닝종료 2:8,0.02,-0.251,99.3,99.2,-0.001
2021-04-20,NC,1초,파슨스,강백호,0-3,볼넷,1사 1루 0:0,"1사 1,2루 0:0",1.15,0.398,49.8,46.2,0.036
2021-04-20,NC,3초,파슨스,강백호,0-0,2루수 땅볼,무사 2루 1:1,1사 3루 1:1,1.38,-0.206,43.2,44.8,-0.016
2021-04-20,NC,5초,파슨스,강백호,2-3,우익수 안타,1사 2루 1:1,1사 1루 2:1,1.66,0.848,47.5,35.7,0.117
2021-04-20,NC,6초,임정호,강백호,2-1,2루수 땅볼,"2사 1,2루 3:1",이닝종료 3:1,1.25,-0.466,22.2,25.5,-0.032
2021-04-20,NC,8초,홍성민,강백호,1-1,3루수 뜬공,2사 1루 4:1,이닝종료 4:1,0.25,-0.251,7.7,8.4,-0.007
2021-04-21,NC,1초,김영규,강백호,1-2,1루수 땅볼,1사 2루 0:0,2사 3루 0:0,1.21,-0.338,48.2,51.2,-0.030
2021-04-21,NC,3초,김영규,강백호,0-1,우익수 안타,"2사 1,2루 0:1","2사 1,3루 1:1",1.93,1.072,62.1,50.0,0.121
2021-04-21,NC,5초,김영규,강백호,2-2,중견수 홈런,1사 1루 1:4,1사  3:4,1.19,1.724,83.7,67.3,0.164
2021-04-21,NC,7초,임정호,강백호,1-2,우익수 안타,무사  3:4,무사 1루 3:4,1.73,0.398,69.6,62.5,0.070
2021-04-21,NC,9초,원종현,강백호,1-3,우익수 뜬공,1사  3:4,2사  3:4,2.12,-0.180,91.1,96.4,-0.053
2021-04-22,NC,1초,루친스키,강백호,0-0,좌익수 뜬공,1사 1루 0:0,2사 1루 0:0,1.15,-0.322,49.8,52.6,-0.028
2021-04-22,NC,3초,루친스키,강백호,1-0,중견수 희생플라이,"무사 1,3루 2:0",1사 1루 3:0,1.10,-0.331,18.8,20.0,-0.012
2021-04-22,NC,4초,루친스키,강백호,1-3,2루수 뜬공,1사 3루 7:0,2사 3루 7:0,0.16,-0.596,2.3,2.9,-0.007
2021-04-22,NC,6초,신민혁,강백호,1-2,좌익수 안타,1사 1루 8:0,"1사 1,2루 8:0",0.03,0.398,0.7,0.6,0.001
2021-04-22,NC,8초,배민서,강백호,1-1,2루수 땅볼,무사 1루 11:0,1사 1루 11:0,0.00,-0.380,0.0,0.0,0.000
2021-04-23,롯데,1말,프랑코,강백호,2-3,중견수 안타,2사  0:0,2사 1루 0:0,0.40,0.134,51.0,52.2,0.012
2021-04-23,롯데,3말,프랑코,강백호,0-1,좌익수 뜬공,2사 3루 6:0,이닝종료 6:0,0.48,-0.387,6.0,4.7,-0.013
2021-04-23,롯데,5말,프랑코,강백호,0-3,1루수 내야안타,2사 1루 6:0,"2사 1,2루 6:0",0.25,0.215,3.3,4.0,0.008
2021-04-23,롯데,7말,김대우,강백호,1-1,3루수 파울 뜬공,1사  6:1,2사  6:1,0.24,-0.180,2.6,2.0,-0.006
2021-04-23,롯데,8말,박진형,강백호,1-2,좌익수 안타,"2사 2,3루 10:2",2사 1루 10:4,0.05,1.617,0.2,0.5,0.003
2021-04-24,롯데,1말,박세웅,강백호,2-3,우익수 홈런,1사 2루 0:0,1사  0:2,1.21,1.572,56.6,72.0,0.154
2021-04-24,롯데,3말,박세웅,강백호,2-1,우익수 안타,2사  1:2,2사 1루 1:2,0.39,0.134,63.5,64.7,0.011
2021-04-24,롯데,5말,박세웅,강백호,2-1,2루수 땅볼,1사 1루 3:2,2사 1루 3:2,1.81,-0.322,41.6,37.3,-0.043
2021-04-24,롯데,8말,최준용,강백호,2-2,좌익수 뜬공,무사  4:2,1사  4:2,1.71,-0.258,16.2,11.9,-0.043
2021-04-25,롯데,1말,이승헌,강백호,2-3,우익수 2루타,1사 2루 1:0,1사 2루 1:1,1.29,1.000,46.4,56.6,0.102
2021-04-25,롯데,2말,이승헌,강백호,2-2,강백호/13168 : 삼진 아웃,"1사 1,2루 1:3","2사 1,2루 1:3",1.33,-0.505,77.6,74.5,-0.030
2021-04-25,롯데,4말,이승헌,강백호,1-2,투수 땅볼,2사  3:3,이닝종료 3:3,0.52,-0.117,51.3,50.0,-0.013
2021-04-25,롯데,7말,최준용,강백호,1-0,2루수 땅볼,무사  5:3,1사  5:3,1.54,-0.258,21.5,17.6,-0.039
2021-04-25,롯데,8말,김대우,강백호,2-3,좌익수 희생플라이,"1사 2,3루 5:4",2사 2루 5:5,4.20,-0.123,54.9,58.0,0.032
2021-04-27,SSG,1초,정수민,강백호,0-3,볼넷,2사  0:0,2사 1루 0:0,0.40,0.134,53.8,52.6,0.012
2021-04-27,SSG,3초,정수민,강백호,1-0,중견수 뜬공,무사  3:0,1사  3:0,0.52,-0.258,20.2,21.5,-0.013
2021-04-27,SSG,4초,최민준,강백호,2-2,좌익수 2루타,2사 3루 4:0,2사 2루 5:0,0.58,0.957,12.4,8.0,0.044
2021-04-27,SSG,5초,최민준,강백호,0-0,유격수 뜬공,"2사 1,3루 8:0",이닝종료 8:0,0.08,-0.538,1.2,1.4,-0.002
2021-04-27,SSG,6초,김택형,강백호,2-3,2루수 땅볼,"2사 1,2루 12:0",이닝종료 12:0,0.01,-0.466,0.1,0.1,0.000
2021-04-27,SSG,8초,이채호,강백호,1-2,우익수 안타,"2사 1,2루 12:2","2사 1,2루 13:2",0.00,1.000,0.0,0.0,0.000
2021-04-28,SSG,1초,오원석,강백호,2-1,좌익수 뜬공,2사  0:0,이닝종료 0:0,0.40,-0.117,53.8,54.8,-0.010
2021-04-28,SSG,3초,오원석,강백호,2-3,좌익수 안타,2사 1루 2:0,"2사 1,3루 2:0",0.65,0.287,30.5,28.4,0.021
2021-04-28,SSG,6초,오원석,강백호,2-0,삼진,무사  2:0,1사  2:0,0.66,-0.258,21.7,23.4,-0.017
2021-04-28,SSG,8초,김태훈,강백호,0-0,좌익수 안타,무사  2:4,무사 1루 2:4,1.45,0.398,86.6,79.9,0.067
2021-04-29,SSG,1초,박종훈,강백호,1-1,우익수 안타,2사  0:0,2사 1루 0:0,0.40,0.134,53.8,52.6,0.012
2021-04-29,SSG,4초,박종훈,강백호,2-2,유격수 땅볼,무사 2루 0:1,1사 3루 0:1,1.61,-0.206,54.9,56.9,-0.020
2021-04-29,SSG,6초,박종훈,강백호,2-1,1루수 땅볼,1사  2:1,2사  2:1,0.72,-0.180,36.2,38.0,-0.018
2021-04-29,SSG,8초,이태양,강백호,0-1,2루수 땅볼,2사 1루 2:1,이닝종료 2:1,0.88,-0.251,27.9,30.4,-0.025
2021-04-29,SSG,9초,장지훈,강백호,2-0,강백호/13168 : 삼진 아웃,1사 만루 6:1,2사 만루 6:1,0.07,-0.835,0.4,0.6,-0.002
2021-04-30,KIA,1말,김유신,강백호,1-3,볼넷,"무사 1,2루 0:0",무사 만루 0:0,1.83,0.844,63.7,70.7,0.070
2021-04-30,KIA,3말,김유신,강백호,2-3,볼넷,2사  3:2,2사 1루 3:2,0.49,0.134,38.7,40.2,0.015
2021-04-30,KIA,5말,고영창,강백호,0-2,우익수 안타,무사 1루 3:5,1사 3루 3:5,0.89,0.030,83.7,85.0,0.013
2021-04-30,KIA,6말,고영창,강백호,1-1,우익수 안타,1사 만루 3:7,"1사 1,2루 3:9",0.44,1.321,97.0,98.9,0.019
2021-05-01,KIA,1말,브룩스,강백호,1-3,볼넷,2사  0:0,2사 1루 0:0,0.40,0.134,51.0,52.2,0.012
2021-05-01,KIA,3말,브룩스,강백호,1-2,우익수 안타,[실책포함],"1사 1,2루 0:0","1사 1,3루 0:1",2.15,1.272,59.7,73.2
2021-05-01,KIA,5말,브룩스,강백호,2-1,강백호/13168 : 삼진 아웃,1사  0:1,2사  0:1,0.63,-0.180,68.9,67.3,-0.016
2021-05-01,KIA,7말,이준영,강백호,2-2,우익수 안타,2사 2루 0:1,2사 1루 0:2,1.10,0.907,77.9,87.7,0.098
2021-05-02,KIA,1말,임기영,강백호,2-0,3루수 뜬공,1사 1루 0:0,2사 1루 0:0,1.16,-0.322,55.0,52.2,-0.028
2021-05-02,KIA,3말,임기영,강백호,1-1,우익수 뜬공,1사 1루 1:1,2사 1루 1:1,1.31,-0.322,55.7,52.6,-0.031
2021-05-02,KIA,5말,임기영,강백호,1-2,좌익수 안타,무사  1:3,무사 1루 1:3,0.57,0.398,81.5,83.7,0.022
2021-05-02,KIA,6말,김현수,강백호,1-3,좌익수 2루타,"1사 2,3루 1:6",1사 2루 1:8,0.16,1.258,98.4,99.4,0.010
2021-05-05,키움,1초,안우진,강백호,1-2,좌익수 2루타,2사  0:0,2사 2루 0:0,0.40,0.227,53.8,51.6,0.022
2021-05-05,키움,4초,안우진,강백호,2-1,강백호/13168 : 삼진 아웃,1사  0:9,2사  0:9,0.06,-0.180,99.3,99.4,-0.001
2021-05-06,키움,1초,한현희,강백호,2-2,강백호/13168 : 유격수 직선타 아웃,2사  0:0,이닝종료 0:0,0.40,-0.117,53.8,54.8,-0.010
2021-05-06,키움,4초,한현희,강백호,2-1,강백호/13168 : 삼진 아웃,무사  0:4,1사  0:4,0.67,-0.258,88.0,89.7,-0.017
2021-05-06,키움,5초,한현희,강백호,0-0,유격수 뜬공,"1사 1,2루 3:4","2사 1,2루 3:4",2.83,-0.505,58.5,64.9,-0.064
2021-05-06,키움,7초,김성민,강백호,1-3,볼넷,2사 1루 3:4,"2사 1,2루 3:4",1.61,0.215,74.6,70.7,0.038
2021-05-06,키움,9초,조상우,강백호,0-1,좌익수 뜬공,2사  4:6,이닝종료 4:6,0.44,-0.117,98.8,100.0,-0.012
2021-05-08,NC,1말,파슨스,강백호,2-3,볼넷,1사 2루 0:0,"1사 1,2루 0:0",1.21,0.246,56.6,58.5,0.019
2021-05-08,NC,3말,파슨스,강백호,2-2,유격수 땅볼,1사  4:0,2사  4:0,0.51,-0.180,14.0,12.7,-0.013
2021-05-08,NC,5말,파슨스,강백호,2-0,좌익수 안타,무사  4:3,무사 1루 4:3,1.36,0.398,41.2,46.7,0.055
2021-05-08,NC,7말,임정호,강백호,0-3,볼넷,1사  4:4,1사 1루 4:4,1.15,0.276,54.9,59.0,0.040
2021-05-08,NC,9말,원종현,강백호,2-1,2루수 땅볼,무사  5:4,1사  5:4,3.47,-0.258,20.0,11.2,-0.088
2021-05-09,NC,1말,박정수,강백호,1-3,우익수 홈런,1사 1루 4:0,1사  4:2,0.95,1.724,19.4,32.5,0.132
2021-05-09,NC,1말,김진호,강백호,2-3,볼넷,"무사 1,2루 0:0",무사 만루 0:0,1.83,0.844,63.7,70.7,0.070
2021-05-09,NC,2말,최금강,강백호,1-2,투수 땅볼,1사 만루 0:3,"2사 1,3루 0:4",1.25,-0.112,87.3,88.1,0.008
2021-05-09,NC,3말,박정수,강백호,0-2,중견수 뜬공,무사  7:5,1사  7:5,1.05,-0.258,32.3,29.7,-0.027
2021-05-09,NC,4말,최금강,강백호,0-1,좌익수 2루타,"무사 1,3루 0:4","무사 2,3루 0:5",0.36,1.148,95.1,97.3,0.022
2021-05-09,NC,5말,박정수,강백호,2-3,2루수 뜬공,2사 1루 10:5,이닝종료 10:5,0.39,-0.251,5.7,4.5,-0.011
2021-05-09,NC,5말,문경찬,강백호,1-3,우익수 뜬공,2사 1루 0:8,이닝종료 0:8,0.02,-0.251,99.3,99.3,-0.001
2021-05-09,NC,8말,소이현,강백호,2-2,1루수 땅볼,무사 2루 1:8,1사 3루 1:8,0.01,-0.206,99.9,99.9,0.000
2021-05-11,삼성,1말,김대우,강백호,2-1,좌익수 안타,"무사 1,3루 0:0","무사 1,2루 0:1",1.54,0.669,67.1,72.3,0.052
2021-05-11,삼성,3말,김대우,강백호,2-2,강백호/13168 : 삼진 아웃,무사  4:4,1사  4:4,0.99,-0.258,55.5,53.0,-0.025
2021-05-11,삼성,5말,임현준,강백호,1-3,중견수 뜬공,무사 1루 6:4,1사 1루 6:4,2.12,-0.380,33.7,28.8,-0.049
2021-05-11,삼성,6말,최지광,강백호,0-3,우익수 안타,"1사 2,3루 6:7",1사 1루 6:9,1.41,1.106,82.3,91.4,0.092
2021-05-11,삼성,8말,장필준,강백호,0-1,좌익수 안타,2사  6:9,2사 1루 6:9,0.06,0.134,96.9,97.0,0.002
2021-05-12,삼성,1말,백정현,강백호,2-2,중견수 뜬공,1사 1루 0:0,2사 1루 0:0,1.16,-0.322,55.0,52.2,-0.028
2021-05-12,삼성,4말,백정현,강백호,1-0,우익수 안타,무사  6:0,무사 1루 6:0,0.39,0.398,5.5,7.3,0.018
2021-05-12,삼성,5말,백정현,강백호,0-0,우익수 홈런,2사  6:3,2사  6:4,0.40,1.000,14.4,23.1,0.087
2021-05-12,삼성,7말,심창민,강백호,2-1,좌익수 뜬공,1사 1루 6:5,2사 1루 6:5,2.58,-0.322,36.5,30.4,-0.061
2021-05-12,삼성,9말,오승환,강백호,2-3,1루수 땅볼,2사 1루 7:5,이닝종료 7:5,1.56,-0.251,4.5,0.0,-0.045
2021-05-13,삼성,1말,원태인,강백호,2-2,강백호/13168 : 삼진 아웃,2사  0:0,이닝종료 0:0,0.40,-0.117,51.0,50.0,-0.010
2021-05-13,삼성,3말,원태인,강백호,2-1,중견수 뜬공,2사 1루 0:0,이닝종료 0:0,0.92,-0.251,52.6,50.0,-0.026
2021-05-13,삼성,5말,원태인,강백호,0-3,볼넷,"2사 1,2루 1:0",2사 만루 1:0,2.55,0.349,40.3,44.8,0.045
2021-05-13,삼성,7말,원태인,강백호,1-1,좌익수 뜬공,"2사 1,2루 1:0",이닝종료 1:0,3.66,-0.466,34.6,25.2,-0.094
2021-05-14,롯데,1초,노경은,강백호,0-3,볼넷,"무사 1,2루 0:0",무사 만루 0:0,1.87,0.844,41.0,33.8,0.072
2021-05-14,롯데,2초,노경은,강백호,2-3,우익수 2루타,1사 3루 4:0,1사 2루 5:0,0.65,0.742,13.1,9.9,0.032
2021-05-14,롯데,4초,노경은,강백호,1-2,유격수 뜬공,1사 1루 5:0,2사 1루 5:0,0.30,-0.322,7.6,8.3,-0.007
2021-05-14,롯데,6초,김유영,강백호,2-1,중견수 안타,"무사 1,2루 6:1","무사 1,3루 7:1",0.27,1.331,3.1,1.3,0.018
2021-05-14,롯데,7초,김건국,강백호,2-2,유격수 뜬공,2사 3루 9:1,이닝종료 9:1,0.02,-0.387,0.4,0.5,-0.001
2021-05-14,롯데,9초,송재영,강백호,1-2,1루수 땅볼,"2사 1,2루 9:1",이닝종료 9:1,0.01,-0.466,0.1,0.1,-0.000
2021-05-15,롯데,1초,나균안,강백호,1-1,3루수 번트안타,2사  0:0,2사 1루 0:0,0.40,0.134,53.8,52.6,0.012
2021-05-15,롯데,4초,나균안,강백호,0-2,3루수 번트안타,무사  0:3,무사 1루 0:3,0.88,0.398,81.8,78.0,0.038
2021-05-15,롯데,6초,구승민,강백호,2-3,강백호/13168 : 삼진 아웃,1사  0:4,2사  0:4,0.40,-0.180,93.7,94.7,-0.010
2021-05-15,롯데,8초,김대우,강백호,0-3,우익수 홈런,무사 1루 2:4,무사  4:4,2.61,1.602,79.9,50.0,0.299
2021-05-15,롯데,9초,서준원,강백호,2-2,강백호/13168 : 삼진 아웃,2사  5:4,이닝종료 5:4,0.35,-0.117,19.1,20.0,-0.009
2021-05-18,두산,1말,로켓,강백호,1-1,좌익수 안타,1사 1루 0:0,"1사 1,2루 0:0",1.16,0.398,55.0,58.5,0.035
2021-05-18,두산,3말,로켓,강백호,0-2,우익수 안타,"1사 1,3루 0:0","1사 1,3루 0:1",2.07,1.000,62.9,73.2,0.102
2021-05-18,두산,6말,로켓,강백호,2-3,볼넷,무사  0:1,무사 1루 0:1,0.83,0.398,74.3,77.4,0.032
2021-05-18,두산,8말,이승진,강백호,2-3,좌익수 안타,1사  0:1,1사 1루 0:1,0.40,0.276,85.5,86.9,0.014
2021-05-19,두산,1말,미란다,강백호,2-2,강백호/13168 : 삼진 아웃,1사 1루 3:0,2사 1루 3:0,1.10,-0.322,26.5,23.8,-0.027
2021-05-19,두산,3말,미란다,강백호,2-3,우익수 안타,"무사 2,3루 4:1",무사 1루 4:3,1.84,0.901,38.2,47.8,0.096
2021-05-19,두산,4말,미란다,강백호,2-3,좌익수 안타,"2사 1,2루 4:4",2사 1루 4:6,2.02,1.785,55.2,77.1,0.219
2021-05-19,두산,7말,장원준,강백호,2-2,강백호/13168 : 삼진 아웃,무사  5:6,1사  5:6,0.75,-0.258,79.1,77.2,-0.019
2021-05-21,한화,1초,김민우,강백호,2-2,유격수 땅볼,2사  0:0,이닝종료 0:0,0.40,-0.117,53.8,54.8,-0.010
2021-05-21,한화,4초,김민우,강백호,2-3,볼넷,1사 1루 0:1,"1사 1,2루 0:1",1.51,0.398,62.2,57.5,0.047
2021-05-21,한화,6초,김범수,강백호,0-2,좌익수 안타,1사  0:3,1사 1루 0:3,0.61,0.276,89.0,86.3,0.027
2021-05-21,한화,8초,강재민,강백호,2-3,강백호/13168 : 삼진 아웃,2사  0:4,이닝종료 0:4,0.12,-0.117,98.5,98.8,-0.003
2021-05-22,한화,1초,카펜터,강백호,2-1,삼진,2사  0:0,이닝종료 0:0,0.40,-0.117,53.8,54.8,-0.010
2021-05-22,한화,4초,카펜터,강백호,2-1,강백호/13168 : 3루수 직선타 아웃,무사  0:1,1사  0:1,1.14,-0.258,62.5,65.4,-0.029
2021-05-22,한화,6초,카펜터,강백호,1-2,좌익수 뜬공,2사 1루 0:3,이닝종료 0:3,0.73,-0.251,89.3,91.4,-0.021
2021-05-22,한화,9초,송윤준,강백호,0-3,볼넷,무사  0:5,무사 1루 0:5,0.16,0.398,99.4,98.7,0.007
2021-05-23,한화,1초,이승관,강백호,2-1,강백호/13168 : 삼진 아웃,"무사 1,2루 0:0","1사 1,2루 0:0",1.87,-0.602,41.0,46.2,-0.052
2021-05-23,한화,2초,배동현,강백호,2-1,강백호/13168 : 삼진 아웃,1사  6:0,2사  6:0,0.14,-0.180,7.5,7.8,-0.004
2021-05-23,한화,4초,김종수,강백호,2-3,강백호/13168 : 삼진 아웃,"1사 2,3루 6:0","2사 2,3루 6:0",0.25,-0.833,3.3,4.6,-0.013
2021-05-23,한화,6초,정인욱,강백호,2-2,1루수 땅볼,"1사 1,2루 7:0","2사 2,3루 7:0",0.10,-0.337,1.2,1.3,-0.002
2021-05-23,한화,7초,주현상,강백호,1-3,우익수 뜬공,2사 만루 8:0,이닝종료 8:0,0.05,-0.815,0.4,0.5,-0.001
2021-05-26,SSG,6말,폰트,강백호,,고의4구,2사 2루 1:1,"2사 1,2루 1:1",1.88,0.122,55.3,56.4,0.011
2021-05-26,SSG,7말,김택형,강백호,1-2,3루수 땅볼,"2사 1,3루 1:4",이닝종료 1:4,0.44,-0.538,94.3,93.1,-0.012
2021-05-26,SSG,10말,서진용,강백호,1-3,중견수 2루타,무사  5:5,무사 2루 5:5,2.26,0.634,63.7,81.1,0.173
2021-05-26,SSG,11말,조영우,강백호,1-2,1루수 땅볼,2사 1루 5:5,이닝종료 5:5,2.30,-0.251,56.4,50.0,-0.064
2021-05-27,SSG,1말,정수민,강백호,2-3,좌익수 홈런,1사 1루 0:0,1사  0:2,1.16,1.724,55.0,72.0,0.170
